tourist_id,nationality,age,gender,travel_purpose,arrival_date,departure_date,duration_days,season,group_size,travel_with,previous_visits_to_nepal,hotel_id,accommodation_type,accommodation_city,cities_visited,num_attractions_visited,primary_transport,uses_tour_guide,daily_budget_usd,accommodation_cost_npr,food_cost_npr,shopping_cost_npr,activities_cost_npr,transport_cost_npr,guide_cost_npr,total_spent_npr,information_source,main_interest,satisfaction_score,would_recommend
2596,Chinese,57,Male,Cultural Tourism,2025-03-28 03:50:54.435982,2025-04-02 03:50:54.435982,5,Spring,5,Friends,0,22,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",14,Public Bus,True,22,15080,9505,1463,7000,500,7036,40584,Other,Heritage Sites,7.8,True
2597,Indian,19,Male,Cultural Tourism,2025-02-08 03:50:54.435982,2025-02-12 03:50:54.435982,4,Winter,5,Friends,0,48,Budget Hostel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",12,Walking,False,7,2056,2228,977,6000,200,0,11461,Social Media,Architecture,7.3,True
2598,American,49,Female,Cultural Tourism,2025-09-03 03:50:54.435982,2025-09-16 03:50:54.435982,13,Autumn,2,Partner/Spouse,3,32,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",15,Taxi,False,16,61295,14014,7185,7500,10400,0,100394,Travel Agency,Local Culture,6.5,False
2599,Korean,25,Male,Adventure/Trekking,2025-04-13 03:50:54.435982,2025-04-19 03:50:54.435982,6,Spring,2,Friend,0,31,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",4,Rental Bike,False,13,42876,6792,2355,2000,3000,0,57023,Social Media,Trekking,5.6,False
2600,Thai,37,Male,Business,2025-04-15 03:50:54.435982,2025-04-21 03:50:54.435982,6,Spring,5,Friends,0,12,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",10,Taxi,False,13,6660,8844,2399,5000,4800,0,27703,Social Media,Local Culture,7.4,True
2601,British,68,Male,Cultural Tourism,2025-07-05 03:50:54.435982,2025-07-12 03:50:54.435982,7,Monsoon,2,Friend,0,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",8,Rental Bike,False,19,27615,10262,1291,4000,3500,0,46668,Social Media,Architecture,6.0,False
2602,Japanese,58,Female,Cultural Tourism,2025-02-03 03:50:54.435982,2025-02-10 03:50:54.435982,7,Winter,3,Tour Group,3,5,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",16,Private Car,True,41,32452,18942,1244,8000,14000,13002,87640,Other,Architecture,8.6,True
2603,Israeli,53,Male,Volunteer Work,2025-11-13 03:50:54.435982,2025-11-21 03:50:54.435982,8,Autumn,1,Solo,0,13,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",5,Taxi,False,18,28392,5816,4682,2500,6400,0,47790,Social Media,Shopping,7.5,True
2604,German,47,Female,Cultural Tourism,2025-02-05 03:50:54.435982,2025-02-15 03:50:54.435982,10,Winter,1,Solo,0,52,Luxury Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",14,Walking,False,36,128060,19650,11566,7000,500,0,166776,Other,Heritage Sites,7.4,True
2605,Japanese,57,Female,Business,2025-05-12 03:50:54.435982,2025-05-20 03:50:54.435982,8,Spring,2,Partner/Spouse,1,36,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",9,Public Bus,True,37,22952,21976,2883,4500,800,12892,66003,Travel Blogs,Food,6.3,False
2606,French,20,Female,Pilgrimage,2025-03-26 03:50:54.435982,2025-04-04 03:50:54.435982,9,Spring,2,Friend,0,24,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",9,Taxi,True,21,37251,5427,1501,4500,7200,14720,70599,Other,Spiritual Experience,7.4,True
2607,British,51,Female,Cultural Tourism,2025-08-29 03:50:54.435982,2025-09-09 03:50:54.435982,11,Monsoon,3,Family,0,13,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",15,Walking,False,20,39039,16170,990,7500,550,0,64249,Social Media,Local Culture,6.5,False
2608,Chinese,66,Female,Cultural Tourism,2024-11-30 03:50:54.435982,2024-12-08 03:50:54.435982,8,Autumn,3,Friends,1,20,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",10,Rental Bike,False,16,16496,7744,3011,5000,4000,0,36251,Other,Architecture,5.8,False
2609,British,38,Female,Adventure/Trekking,2025-02-24 03:50:54.435982,2025-03-06 03:50:54.435982,10,Winter,3,Friends,0,42,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",6,Taxi,True,19,32570,14260,4033,3000,8000,21190,83053,Friends/Family,Adventure Sports,7.9,True
2610,Other,55,Male,Cultural Tourism,2024-12-10 03:50:54.435982,2024-12-17 03:50:54.435982,7,Winter,2,Partner/Spouse,0,33,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",10,Private Car,False,16,21665,4739,4111,5000,14000,0,49515,Travel Agency,Architecture,5.3,False
2611,Bangladeshi,36,Male,Cultural Tourism,2025-07-22 03:50:54.435982,2025-07-25 03:50:54.435982,3,Monsoon,4,Family,0,54,Guesthouse,Bhaktapur,"Kathmandu,Patan",9,Taxi,False,13,2688,3186,963,4500,2400,0,13737,Social Media,Heritage Sites,7.3,True
2612,Australian,26,Female,Cultural Tourism,2025-01-02 03:50:54.435982,2025-01-10 03:50:54.435982,8,Winter,2,Partner/Spouse,0,27,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Public Bus,False,33,18272,21552,7303,9000,800,0,56927,Travel Agency,Architecture,7.3,True
2613,American,47,Female,Cultural Tourism,2024-11-29 03:50:54.435982,2024-12-10 03:50:54.435982,11,Autumn,2,Partner/Spouse,0,18,Luxury Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Taxi,True,24,115423,24893,8221,9000,8800,13135,179472,Travel Agency,Heritage Sites,8.3,True
2614,American,57,Female,Adventure/Trekking,2025-03-18 03:50:54.435982,2025-03-28 03:50:54.435982,10,Spring,2,Partner/Spouse,1,53,Luxury Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",3,Taxi,True,28,89140,25210,1884,1500,8000,22890,148624,Travel Agency,Adventure Sports,8.2,True
2615,American,40,Male,Luxury Travel,2025-05-14 03:50:54.435982,2025-05-27 03:50:54.435982,13,Spring,1,Solo,1,28,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Public Bus,True,28,75478,33150,5005,2000,1300,17610,134543,Travel Agency,Food,8.8,True
2616,Chinese,37,Male,Cultural Tourism,2025-06-15 03:50:54.435982,2025-06-20 03:50:54.435982,5,Monsoon,7,Family,0,57,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",15,Rental Bike,False,12,33180,3805,1803,7500,2500,0,48788,Friends/Family,Architecture,6.5,False
2617,Indian,64,Male,Cultural Tourism,2025-03-26 03:50:54.435982,2025-03-30 03:50:54.435982,4,Spring,4,Family,2,45,Guesthouse,Patan,"Kathmandu,Bhaktapur",12,Public Bus,False,11,3896,4872,1766,6000,400,0,16934,Other,Local Culture,6.6,False
2618,Indian,38,Female,Pilgrimage,2025-09-21 03:50:54.435982,2025-09-25 03:50:54.435982,4,Autumn,4,Family,1,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Bhaktapur",6,Rental Bike,False,13,15780,3516,540,3000,2000,0,24836,Friends/Family,Spiritual Experience,7.1,True
2619,British,63,Female,Cultural Tourism,2025-03-09 03:50:54.435982,2025-03-19 03:50:54.435982,10,Spring,1,Solo,0,37,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",19,Taxi,False,25,46640,23030,1457,9500,8000,0,88627,Friends/Family,Local Culture,7.7,True
2620,Spanish,42,Female,Cultural Tourism,2025-02-05 03:50:54.435982,2025-02-14 03:50:54.435982,9,Winter,1,Solo,0,57,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",11,Walking,False,13,59724,7146,3203,5500,450,0,76023,Travel Agency,Heritage Sites,5.9,False
2621,Dutch,29,Female,Cultural Tourism,2025-10-17 03:50:54.435982,2025-10-27 03:50:54.435982,10,Autumn,2,Partner/Spouse,0,56,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",13,Rental Bike,True,19,31430,6890,7452,6500,5000,17490,74762,Social Media,Local Culture,8.1,True
2622,French,68,Female,Adventure/Trekking,2025-05-11 03:50:54.435982,2025-05-22 03:50:54.435982,11,Spring,2,Friend,1,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",7,Walking,False,16,43395,11968,3400,3500,550,0,62813,Travel Agency,Trekking,7.7,True
2623,British,64,Female,Cultural Tourism,2025-07-03 03:50:54.435982,2025-07-12 03:50:54.435982,9,Monsoon,1,Solo,1,31,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",17,Taxi,False,33,64314,21249,730,8500,7200,0,101993,Friends/Family,Local Culture,6.3,False
2624,German,69,Male,Cultural Tourism,2024-12-12 03:50:54.435982,2024-12-25 03:50:54.435982,13,Winter,2,Friend,2,32,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",9,Private Car,True,24,61295,38636,898,4500,26000,14874,146203,Travel Agency,Heritage Sites,7.0,False
2625,Thai,52,Female,Pilgrimage,2025-06-16 03:50:54.435982,2025-06-22 03:50:54.435982,6,Monsoon,5,Tour Group,0,43,Guesthouse,Patan,"Kathmandu,Patan,Bhaktapur",10,Rental Bike,False,12,4332,3714,2614,5000,3000,0,18660,Friends/Family,Religious Sites,7.6,True
2626,Israeli,25,Male,Backpacking,2025-01-05 03:50:54.435982,2025-01-16 03:50:54.435982,11,Winter,2,Friend,1,31,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",9,Taxi,False,23,78606,31603,4013,4500,8800,0,127522,Travel Blogs,Shopping,4.4,False
2627,Indian,43,Male,Pilgrimage,2025-11-09 03:50:54.435982,2025-11-12 03:50:54.435982,3,Autumn,4,Friends,0,54,Guesthouse,Bhaktapur,"Kathmandu,Patan,Bhaktapur",5,Public Bus,True,6,2688,1869,465,2500,300,4227,12049,Guidebooks,Spiritual Experience,6.6,False
2628,American,49,Male,Cultural Tourism,2025-05-22 03:50:54.435982,2025-05-30 03:50:54.435982,8,Spring,2,Friend,1,30,Luxury Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",8,Private Car,True,27,96016,22120,1707,4000,16000,12304,152147,Social Media,Architecture,7.3,True
2629,British,28,Female,Cultural Tourism,2024-11-25 03:50:54.435982,2024-12-05 03:50:54.435982,10,Autumn,3,Family,0,4,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",12,Public Bus,False,34,26360,19560,13378,6000,1000,0,66298,Social Media,Heritage Sites,8.4,True
2630,Indian,61,Female,Pilgrimage,2025-05-19 03:50:54.435982,2025-05-22 03:50:54.435982,3,Spring,2,Partner/Spouse,0,10,Budget Hostel,Kathmandu,"Kathmandu,Patan",6,Public Bus,False,9,2250,1842,322,3000,300,0,7714,Guidebooks,Spiritual Experience,6.7,False
2631,Indian,63,Male,Pilgrimage,2025-04-11 03:50:54.435982,2025-04-15 03:50:54.435982,4,Spring,2,Friend,0,19,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",6,Public Bus,False,17,4556,3144,966,3000,400,0,12066,Travel Blogs,Spiritual Experience,8.6,True
2632,German,62,Female,Cultural Tourism,2025-08-03 03:50:54.435982,2025-08-15 03:50:54.435982,12,Monsoon,1,Solo,0,20,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",15,Taxi,False,13,24744,11436,6660,7500,9600,0,59940,Friends/Family,Architecture,7.9,True
2633,British,58,Female,Cultural Tourism,2025-09-03 03:50:54.435982,2025-09-10 03:50:54.435982,7,Autumn,2,Friend,0,31,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",9,Rental Bike,False,25,50022,18200,154,4500,3500,0,76376,Friends/Family,Heritage Sites,7.8,True
2634,Chinese,42,Male,Business,2025-06-30 03:50:54.435982,2025-07-06 03:50:54.435982,6,Monsoon,7,Family,1,30,Luxury Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",9,Taxi,False,25,72012,15408,1125,4500,4800,0,97845,Social Media,Heritage Sites,5.3,False
2635,Thai,65,Female,Backpacking,2025-08-29 03:50:54.435982,2025-09-03 03:50:54.435982,5,Monsoon,3,Friends,1,10,Budget Hostel,Kathmandu,"Kathmandu,Patan,Bhaktapur",9,Taxi,False,7,3750,1630,596,4500,4000,0,14476,Social Media,Heritage Sites,5.3,False
2636,German,24,Female,Adventure/Trekking,2025-10-09 03:50:54.435982,2025-10-19 03:50:54.435982,10,Autumn,2,Partner/Spouse,0,3,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Public Bus,True,23,27570,27560,1440,3500,1000,18260,79330,Travel Blogs,Nature,6.5,False
2637,French,66,Male,Cultural Tourism,2025-01-31 03:50:54.435982,2025-02-08 03:50:54.435982,8,Winter,1,Solo,0,42,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",14,Public Bus,True,27,26056,19768,3445,7000,800,12252,69321,Other,Architecture,7.3,True
2638,Thai,39,Female,Pilgrimage,2025-09-19 03:50:54.435982,2025-09-25 03:50:54.435982,6,Autumn,4,Family,0,22,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",11,Taxi,False,17,18096,7194,4041,5500,4800,0,39631,Other,Religious Sites,7.5,True
2639,German,54,Female,Adventure/Trekking,2025-06-01 03:50:54.435982,2025-06-11 03:50:54.435982,10,Monsoon,1,Solo,0,5,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",5,Public Bus,False,17,46360,6030,5565,2500,1000,0,61455,Travel Agency,Nature,5.5,False
2640,Japanese,29,Male,Pilgrimage,2025-01-30 03:50:54.435982,2025-02-07 03:50:54.435982,8,Winter,3,Friends,1,53,Luxury Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",5,Walking,True,32,71312,18760,10383,2500,400,10852,114207,Travel Blogs,Spiritual Experience,5.8,False
2641,Korean,43,Male,Business,2025-10-01 03:50:54.435982,2025-10-09 03:50:54.435982,8,Autumn,2,Friend,0,37,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",8,Taxi,False,14,37312,8904,462,4000,6400,0,57078,Travel Agency,Heritage Sites,6.5,False
2642,Thai,41,Female,Cultural Tourism,2025-10-26 03:50:54.435982,2025-11-01 03:50:54.435982,6,Autumn,5,Family,1,20,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Public Bus,False,11,12372,5970,395,9000,600,0,28337,Travel Blogs,Heritage Sites,7.1,True
2643,British,68,Female,Cultural Tourism,2025-01-21 03:50:54.435982,2025-01-31 03:50:54.435982,10,Winter,2,Partner/Spouse,1,25,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Taxi,True,14,33160,11150,1081,9000,8000,12520,74911,Travel Agency,Local Culture,7.6,True
2644,Indian,67,Male,Pilgrimage,2025-03-21 03:50:54.435982,2025-03-27 03:50:54.435982,6,Spring,5,Tour Group,4,59,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",10,Public Bus,True,17,13500,3720,1005,5000,600,8157,31982,Social Media,Religious Sites,6.1,False
2645,Thai,66,Male,Cultural Tourism,2025-04-12 03:50:54.435982,2025-04-17 03:50:54.435982,5,Spring,2,Friend,0,60,Budget Hostel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",15,Walking,True,7,2365,2015,1191,7500,250,9932,23253,Travel Agency,Heritage Sites,8.7,True
2646,German,39,Female,Volunteer Work,2025-04-14 03:50:54.435982,2025-04-24 03:50:54.435982,10,Spring,2,Friend,0,25,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Taxi,False,33,33160,26390,3598,3500,8000,0,74648,Friends/Family,Food,8.8,True
2647,Australian,40,Female,Cultural Tourism,2025-08-29 03:50:54.435982,2025-09-10 03:50:54.435982,12,Monsoon,1,Solo,0,3,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",16,Private Car,True,33,33084,23676,12050,8000,24000,18498,119308,Friends/Family,Architecture,6.4,False
2648,Dutch,27,Male,Cultural Tourism,2025-05-28 03:50:54.435982,2025-06-08 03:50:54.435982,11,Spring,2,Partner/Spouse,1,5,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",12,Walking,False,22,50996,9042,8271,6000,550,0,74859,Social Media,Heritage Sites,8.0,True
2649,Australian,45,Female,Backpacking,2025-10-10 03:50:54.435982,2025-10-23 03:50:54.435982,13,Autumn,2,Partner/Spouse,0,47,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",4,Private Car,False,32,95940,32591,14471,2000,26000,0,171002,Travel Agency,Food,7.2,True
2650,Chinese,55,Male,Pilgrimage,2025-08-11 03:50:54.435982,2025-08-18 03:50:54.435982,7,Monsoon,5,Family,1,15,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",6,Rental Bike,True,11,9933,5971,1459,3000,3500,13857,37720,Friends/Family,Religious Sites,6.5,False
2651,American,51,Female,Volunteer Work,2025-11-11 03:50:54.435982,2025-11-23 03:50:54.435982,12,Autumn,2,Partner/Spouse,0,11,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Rental Bike,False,20,16452,9048,8298,2000,6000,0,41798,Travel Blogs,Heritage Sites,7.6,True
2652,Australian,68,Male,Cultural Tourism,2025-01-22 03:50:54.435982,2025-02-05 03:50:54.435982,14,Winter,2,Partner/Spouse,0,8,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",16,Taxi,True,23,23758,19558,8030,8000,11200,32746,103292,Friends/Family,Architecture,8.9,True
2653,British,22,Male,Cultural Tourism,2025-03-08 03:50:54.435982,2025-03-20 03:50:54.435982,12,Spring,3,Family,0,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",17,Private Car,True,36,47340,29820,9812,8500,24000,14640,134112,Social Media,Heritage Sites,9.8,True
2654,Indian,56,Male,Business,2025-09-06 03:50:54.435982,2025-09-12 03:50:54.435982,6,Autumn,2,Partner/Spouse,0,1,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",11,Public Bus,True,7,5082,2796,677,5500,600,13938,28593,Other,Food,7.1,True
2655,British,21,Male,Cultural Tourism,2025-11-13 03:50:54.435982,2025-11-21 03:50:54.435982,8,Autumn,2,Partner/Spouse,0,42,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",14,Private Car,False,21,26056,10336,800,7000,16000,0,60192,Travel Blogs,Architecture,7.1,True
2656,American,44,Female,Pilgrimage,2025-03-27 03:50:54.435982,2025-04-07 03:50:54.435982,11,Spring,1,Solo,0,38,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",11,Rental Bike,False,21,21857,15884,8891,5500,5500,0,57632,Friends/Family,Spiritual Experience,6.6,False
2657,Chinese,21,Female,Cultural Tourism,2024-12-01 03:50:54.435982,2024-12-07 03:50:54.435982,6,Winter,5,Tour Group,0,12,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",11,Rental Bike,True,13,6660,4308,920,5500,3000,8673,29061,Other,Architecture,7.7,True
2658,Chinese,50,Male,Cultural Tourism,2025-04-12 03:50:54.435982,2025-04-21 03:50:54.435982,9,Spring,6,Family,0,28,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",8,Private Car,True,18,52254,9675,874,4000,18000,16912,101715,Other,Architecture,6.9,False
2659,British,49,Male,Backpacking,2024-12-30 03:50:54.435982,2025-01-12 03:50:54.435982,13,Winter,3,Friends,0,39,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",8,Private Car,True,36,68822,19266,2414,4000,26000,13194,133696,Travel Agency,Heritage Sites,9.3,True
2660,British,32,Female,Cultural Tourism,2025-04-24 03:50:54.435982,2025-05-03 03:50:54.435982,9,Spring,2,Friend,0,43,Guesthouse,Patan,"Kathmandu,Patan,Bhaktapur",17,Taxi,False,16,6498,9612,403,8500,7200,0,32213,Social Media,Local Culture,8.5,True
2661,Dutch,36,Female,Business,2025-04-06 03:50:54.435982,2025-04-19 03:50:54.435982,13,Spring,1,Solo,0,13,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Rental Bike,False,23,46137,32045,12224,2000,6500,0,98906,Social Media,Local Culture,4.5,False
2662,American,59,Female,Cultural Tourism,2025-09-04 03:50:54.435982,2025-09-16 03:50:54.435982,12,Autumn,1,Solo,0,22,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",19,Walking,False,23,36192,28764,9277,9500,600,0,84333,Other,Heritage Sites,8.1,True
2663,Indian,60,Female,Cultural Tourism,2025-10-30 03:50:54.435982,2025-11-05 03:50:54.435982,6,Autumn,5,Family,0,45,Guesthouse,Patan,"Kathmandu,Patan,Bhaktapur",9,Rental Bike,False,8,5844,3186,105,4500,3000,0,16635,Travel Agency,Architecture,8.6,True
2664,American,30,Female,Cultural Tourism,2025-05-15 03:50:54.435982,2025-05-26 03:50:54.435982,11,Spring,1,Solo,0,5,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",15,Taxi,False,32,50996,32406,254,7500,8800,0,99956,Social Media,Local Culture,8.7,True
2665,Indian,45,Male,Cultural Tourism,2025-07-31 03:50:54.435982,2025-08-05 03:50:54.435982,5,Monsoon,2,Partner/Spouse,0,29,Budget Hostel,Kathmandu,"Kathmandu,Patan,Bhaktapur",8,Private Car,True,9,1675,1790,779,4000,10000,6732,24976,Social Media,Heritage Sites,7.4,True
2666,American,25,Male,Backpacking,2025-04-15 03:50:54.435982,2025-04-23 03:50:54.435982,8,Spring,1,Solo,0,56,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",10,Public Bus,False,19,25144,9552,2784,5000,800,0,43280,Travel Blogs,Local Culture,7.2,True
2667,Australian,29,Male,Adventure/Trekking,2025-02-27 03:50:54.435982,2025-03-14 03:50:54.435982,15,Winter,2,Friend,0,36,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",4,Private Car,False,34,43035,26865,9573,2000,30000,0,111473,Social Media,Nature,6.6,False
2668,British,36,Female,Backpacking,2025-05-01 03:50:54.435982,2025-05-14 03:50:54.435982,13,Spring,3,Family,0,25,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",11,Rental Bike,False,23,43108,22217,2790,5500,6500,0,80115,Travel Agency,Heritage Sites,8.6,True
2669,American,50,Male,Adventure/Trekking,2025-05-05 03:50:54.435982,2025-05-13 03:50:54.435982,8,Spring,2,Partner/Spouse,0,16,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Private Car,False,39,49464,20048,3148,2000,16000,0,90660,Travel Blogs,Adventure Sports,8.5,True
2670,German,20,Male,Adventure/Trekking,2025-09-18 03:50:54.435982,2025-09-30 03:50:54.435982,12,Autumn,2,Friend,0,50,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",7,Taxi,False,36,44736,34848,4566,3500,9600,0,97250,Travel Blogs,Adventure Sports,9.2,True
2671,Indian,25,Female,Pilgrimage,2025-08-15 03:50:54.435982,2025-08-21 03:50:54.435982,6,Monsoon,2,Partner/Spouse,0,12,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",9,Private Car,False,17,6660,7902,270,4500,12000,0,31332,Social Media,Spiritual Experience,7.1,True
2672,Indian,43,Male,Business,2025-04-14 03:50:54.435982,2025-04-17 03:50:54.435982,3,Spring,2,Partner/Spouse,0,11,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",5,Taxi,True,10,4113,1143,98,2500,2400,4463,14717,Travel Agency,Food,7.3,True
2673,American,39,Male,Volunteer Work,2025-07-14 03:50:54.435982,2025-07-25 03:50:54.435982,11,Monsoon,2,Partner/Spouse,1,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",8,Taxi,True,23,43395,21153,10607,4000,8800,14015,101970,Travel Agency,Shopping,4.5,False
2674,Indian,21,Female,Cultural Tourism,2025-10-05 03:50:54.435982,2025-10-08 03:50:54.435982,3,Autumn,3,Tour Group,0,26,Budget Hostel,Kathmandu,"Kathmandu,Bhaktapur",9,Public Bus,False,10,1761,1731,474,4500,300,0,8766,Social Media,Architecture,6.4,False
2675,Indian,26,Male,Pilgrimage,2025-07-03 03:50:54.435982,2025-07-09 03:50:54.435982,6,Monsoon,3,Family,0,21,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",6,Private Car,True,11,14754,8772,1735,3000,12000,10128,50389,Travel Agency,Spiritual Experience,6.3,False
2676,British,46,Female,Luxury Travel,2024-12-18 03:50:54.435982,2024-12-31 03:50:54.435982,13,Winter,2,Partner/Spouse,1,16,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Walking,True,15,80379,18317,7818,2000,650,29982,139146,Guidebooks,Food,7.3,True
2677,German,56,Female,Luxury Travel,2025-08-24 03:50:54.435982,2025-09-01 03:50:54.435982,8,Monsoon,1,Solo,0,27,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",6,Taxi,False,14,18272,10472,2209,3000,6400,0,40353,Other,Heritage Sites,6.4,False
2678,Chinese,33,Female,Adventure/Trekking,2025-09-18 03:50:54.435982,2025-09-24 03:50:54.435982,6,Autumn,5,Tour Group,0,23,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",3,Rental Bike,False,20,7464,6048,1279,1500,3000,0,19291,Travel Blogs,Nature,6.2,False
2679,Australian,36,Male,Luxury Travel,2025-06-25 03:50:54.435982,2025-07-07 03:50:54.435982,12,Monsoon,1,Solo,0,16,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Taxi,True,27,74196,26196,7562,2000,9600,29442,148996,Social Media,Local Culture,6.8,False
2680,Indian,31,Female,Adventure/Trekking,2025-11-01 03:50:54.435982,2025-11-05 03:50:54.435982,4,Autumn,4,Tour Group,0,55,Guesthouse,Bhaktapur,"Kathmandu,Patan,Bhaktapur",6,Rental Bike,True,10,3056,2592,590,3000,2000,6364,17602,Guidebooks,Trekking,7.8,True
2681,Indian,66,Male,Adventure/Trekking,2025-02-04 03:50:54.435982,2025-02-08 03:50:54.435982,4,Winter,2,Friend,0,46,Budget Hostel,Bhaktapur,"Kathmandu,Patan",3,Taxi,False,10,1912,2900,637,1500,3200,0,10149,Travel Blogs,Nature,9.1,True
2682,British,23,Female,Cultural Tourism,2025-07-16 03:50:54.435982,2025-07-24 03:50:54.435982,8,Monsoon,3,Tour Group,0,27,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",19,Rental Bike,False,29,18272,14632,5112,9500,4000,0,51516,Social Media,Local Culture,6.5,False
2683,Bangladeshi,39,Female,Cultural Tourism,2025-08-23 03:50:54.435982,2025-08-26 03:50:54.435982,3,Monsoon,3,Friends,0,50,Boutique Hotel,Bhaktapur,"Kathmandu,Bhaktapur",9,Public Bus,True,14,11184,3882,995,4500,300,3857,24718,Friends/Family,Architecture,8.1,True
2684,Indian,63,Male,Business,2025-07-19 03:50:54.435982,2025-07-24 03:50:54.435982,5,Monsoon,4,Friends,5,19,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Walking,False,11,5695,5155,994,3500,250,0,15594,Guidebooks,Heritage Sites,8.1,True
